id,lat,lon,type,city,Remarks
1,40.76053234,-73.99815168,H,"New York city, New York",FedEx ShipSite
2,34.02135577,-118.276327,H,"Los Angeles city, California",FedEx ShipSite
3,41.90215422,-87.64911463,H,"Chicago city, Illinois",FedEx ShipSite
4,29.86347823,-95.56083908,H,"Houston city, Texas",FedEx  Ground
5,33.6953622,-112.084666,H,"Phoenix city, Arizona",FedEx  Ground
6,40.11206849,-74.97304753,H,"Philadelphia city, Pennsylvania",FedEx  Ground
7,29.56043186,-98.48861926,H,"San Antonio city, Texas",FedEx ShipSite
8,32.72265031,-117.0943062,H,"San Diego city, California",FedEx ShipSite
9,32.76561966,-96.886373,H,"Dallas city, Texas",FedEx  Ground
10,30.18066807,-97.6906159,H,"Austin city, Texas",FedEx ShipSite
11,30.34011833,-81.77514333,H,"Jacksonville city, Florida",FedEx ShipSite
12,40.01861818,-82.9200998,H,"Columbus city, Ohio",FedEx ShipSite
13,39.80026887,-86.0990547,H,"Indianapolis city (balance), Indiana",FedEx  Ground
14,35.27312217,-80.91829747,H,"Charlotte city, North Carolina",FedEx  Ground
15,37.77383407,-122.387024,H,"San Francisco city, California",Port of San Francisco 
16,47.61383752,-122.3542582,H,"Seattle city, Washington",Port of Seattle 
17,39.77269119,-104.8734468,H,"Denver city, Colorado",FedEx ShipSite
18,38.90991459,-77.00402788,H,"Washington city, District of Columbia",FedEx ShipSite
19,36.14608226,-86.69679309,H,"Nashville-Davidson metropolitan government (balance), Tennessee",FedEx ShipSite
20,35.40870865,-97.58189585,H,"Oklahoma City city, Oklahoma",FedEx ShipSite
21,31.79474979,-106.3734407,H,"El Paso city, Texas",FedEx ShipSite
22,42.34075084,-71.03645474,H,"Boston city, Massachusetts",FedEx ShipSite
23,45.5500088,-122.6936146,H,"Portland city, Oregon",Ash Grove Portland Terminal
24,36.2170244,-115.1565951,H,"Las Vegas city, Nevada",FedEx ShipSite
25,42.44998268,-83.1954107,H,"Detroit city, Michigan",FedEx  Ground
26,35.02696536,-89.93900263,H,"Memphis city, Tennessee",FedEx ShipSite
